epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,4267.74,0.66567,0.44674,1.03771,0.99913,1,0.995,0.93125,0.3637,0.27754,0.85993,0.00078032,0.00078032,0.00078032
79,4322.7,0.67917,0.45626,1.05015,0.99914,1,0.995,0.90627,0.42869,0.29317,0.88855,0.00076448,0.00076448,0.00076448
80,4377.78,0.65391,0.4284,1.01496,0.99915,1,0.995,0.89988,0.43528,0.29784,0.89309,0.00074864,0.00074864,0.00074864
81,4642.65,0.64256,0.42792,1.01459,0.99911,1,0.995,0.89944,0.47716,0.3075,0.91098,0.0007328,0.0007328,0.0007328
82,4692.22,0.66127,0.43363,1.02175,0.99913,1,0.995,0.92588,0.39333,0.27564,0.87875,0.00071696,0.00071696,0.00071696
83,4743.22,0.64013,0.42235,1.0052,0.99916,1,0.995,0.90577,0.42949,0.27709,0.87926,0.00070112,0.00070112,0.00070112
84,4794.64,0.62325,0.41113,0.9889,0.99916,1,0.995,0.93083,0.37349,0.27602,0.85956,0.00068528,0.00068528,0.00068528
85,4849.53,0.66154,0.44119,1.04093,0.99916,1,0.995,0.88831,0.47621,0.2987,0.89784,0.00066944,0.00066944,0.00066944
86,4908.64,0.64467,0.43305,1.02048,0.99919,1,0.995,0.92201,0.37363,0.28003,0.86135,0.0006536,0.0006536,0.0006536
87,4963.74,0.6698,0.45413,1.04721,0.99911,1,0.995,0.92148,0.35531,0.2775,0.85282,0.00063776,0.00063776,0.00063776
88,5021.27,0.60843,0.42843,1.0168,0.99906,1,0.995,0.94851,0.31262,0.26006,0.84345,0.00062192,0.00062192,0.00062192
89,5079.75,0.64024,0.43676,1.02164,0.99907,1,0.995,0.91661,0.39604,0.27647,0.87182,0.00060608,0.00060608,0.00060608
90,5136.44,0.63606,0.43575,1.02334,0.99912,1,0.995,0.90312,0.46163,0.27745,0.91316,0.00059024,0.00059024,0.00059024
91,5190.58,0.59998,0.41853,1.00503,0.99912,1,0.995,0.91661,0.41349,0.26972,0.87603,0.0005744,0.0005744,0.0005744
92,5245.36,0.61526,0.4153,1.00545,0.99917,1,0.995,0.93459,0.33913,0.25126,0.85091,0.00055856,0.00055856,0.00055856
93,5298.06,0.61613,0.40475,1.01087,0.9992,1,0.995,0.92126,0.37371,0.26309,0.85973,0.00054272,0.00054272,0.00054272
94,5358.06,0.58528,0.39355,0.98646,0.99921,1,0.995,0.93417,0.32518,0.24876,0.84349,0.00052688,0.00052688,0.00052688
95,5418.55,0.55998,0.38738,0.98008,0.99919,1,0.995,0.93551,0.32832,0.25163,0.84424,0.00051104,0.00051104,0.00051104
96,5476.01,0.59494,0.40953,0.99064,0.99916,1,0.995,0.94474,0.32504,0.24926,0.84136,0.0004952,0.0004952,0.0004952
97,5533.9,0.58557,0.39777,0.99648,0.9992,1,0.995,0.95781,0.30691,0.24338,0.82861,0.00047936,0.00047936,0.00047936
98,5590.33,0.58277,0.3891,0.99142,0.99923,1,0.995,0.96374,0.30819,0.24846,0.82941,0.00046352,0.00046352,0.00046352
99,5644.92,0.60318,0.39271,0.99665,0.9992,1,0.995,0.96243,0.31107,0.25999,0.83385,0.00044768,0.00044768,0.00044768
