epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,1417.29,0.63803,0.51993,0.94123,0.99872,1,0.995,0.88863,0.50462,0.48916,0.8468,0.00047936,0.00047936,0.00047936
98,1428.78,0.68896,0.55313,0.94864,0.99883,1,0.995,0.88865,0.50553,0.48374,0.84424,0.00046352,0.00046352,0.00046352
99,1440.06,0.61384,0.56371,0.9216,0.99883,1,0.995,0.88865,0.50553,0.48374,0.84424,0.00044768,0.00044768,0.00044768
100,1452.07,0.6866,0.56015,0.91958,0.99894,1,0.995,0.89146,0.47858,0.47452,0.83983,0.00043184,0.00043184,0.00043184
101,1463.86,0.66094,0.56246,0.92467,0.99894,1,0.995,0.89146,0.47858,0.47452,0.83983,0.000416,0.000416,0.000416
102,1475.48,0.54365,0.53297,0.87262,0.99915,1,0.995,0.89662,0.46996,0.46404,0.84151,0.00040016,0.00040016,0.00040016
103,1486.85,0.53582,0.50924,0.87899,0.99915,1,0.995,0.89662,0.46996,0.46404,0.84151,0.00038432,0.00038432,0.00038432
104,1499.44,0.56979,0.53568,0.8972,0.99934,1,0.995,0.89795,0.44575,0.45555,0.8331,0.00036848,0.00036848,0.00036848
105,1510.5,0.50623,0.47688,0.86223,0.99934,1,0.995,0.89795,0.44575,0.45555,0.8331,0.00035264,0.00035264,0.00035264
106,1521.42,0.60944,0.56253,0.94242,0.99896,1,0.995,0.92201,0.41464,0.44158,0.82184,0.0003368,0.0003368,0.0003368
107,1532.28,0.6484,0.53521,1.00154,0.99896,1,0.995,0.92201,0.41464,0.44158,0.82184,0.00032096,0.00032096,0.00032096
108,1543.29,0.54731,0.56305,0.93388,0.99888,1,0.995,0.9236,0.39184,0.42683,0.81607,0.00030512,0.00030512,0.00030512
109,1554.29,0.52796,0.4851,0.90192,0.99888,1,0.995,0.9236,0.39184,0.42683,0.81607,0.00028928,0.00028928,0.00028928
110,1565.71,0.56383,0.5216,0.92037,0.99891,1,0.995,0.92067,0.38292,0.42506,0.81286,0.00027344,0.00027344,0.00027344
111,1576.66,0.49211,0.55357,0.90395,0.99891,1,0.995,0.92067,0.38292,0.42506,0.81286,0.0002576,0.0002576,0.0002576
112,1587.69,0.57094,0.51757,0.88517,0.99916,1,0.995,0.93123,0.36929,0.41671,0.81192,0.00024176,0.00024176,0.00024176
113,1598.52,0.47167,0.46617,0.89738,0.99916,1,0.995,0.93123,0.36929,0.41671,0.81192,0.00022592,0.00022592,0.00022592
114,1609.89,0.56975,0.51351,0.92068,0.99924,1,0.995,0.93371,0.35812,0.41328,0.81299,0.00021008,0.00021008,0.00021008
115,1622.03,0.58854,0.50422,0.89224,0.99924,1,0.995,0.93371,0.35812,0.41328,0.81299,0.00019424,0.00019424,0.00019424
116,1634.3,0.43639,0.48346,0.8211,0.99934,1,0.995,0.94217,0.35334,0.40791,0.81439,0.0001784,0.0001784,0.0001784
117,1645.53,0.49598,0.50387,0.85654,0.99934,1,0.995,0.94217,0.35334,0.40791,0.81439,0.00016256,0.00016256,0.00016256
118,1657.28,0.39664,0.48844,0.78766,0.9994,1,0.995,0.9474,0.34672,0.41342,0.81322,0.00014672,0.00014672,0.00014672
119,1668.57,0.43632,0.507,0.82736,0.9994,1,0.995,0.9474,0.34672,0.41342,0.81322,0.00013088,0.00013088,0.00013088
120,1679.58,0.4328,0.55254,0.81725,0.99943,1,0.995,0.94533,0.33823,0.41321,0.80999,0.00011504,0.00011504,0.00011504
121,1690.89,0.36873,0.48339,0.82164,0.99943,1,0.995,0.94533,0.33823,0.41321,0.80999,9.92e-05,9.92e-05,9.92e-05
122,1702.42,0.37419,0.46405,0.82189,0.99943,1,0.995,0.95674,0.32907,0.40843,0.80761,8.336e-05,8.336e-05,8.336e-05
123,1713.75,0.36224,0.44799,0.8146,0.99943,1,0.995,0.95674,0.32907,0.40843,0.80761,6.752e-05,6.752e-05,6.752e-05
124,1724.77,0.39923,0.43194,0.80143,0.9994,1,0.995,0.95892,0.32548,0.40722,0.80665,5.168e-05,5.168e-05,5.168e-05
125,1735.83,0.42289,0.5485,0.838,0.9994,1,0.995,0.95892,0.32548,0.40722,0.80665,3.584e-05,3.584e-05,3.584e-05
